尺寸代號,上胸圍1,上胸圍2,下胸圍1,下胸圍2,對應尺寸請使用.號隔開,對應尺寸群組,內衣對應
A30A,67.99,70.57,62.5,67.49,A30,正常型,養脂內衣
A30B,70.58,73.16,62.5,67.49,B30,正常型,養脂內衣
A30C,73.17,75.75,62.5,67.49,C30,正常型,養脂內衣
A30D,75.76,78.34,62.5,67.49,D30,正常型,養脂內衣
A30E,78.35,80.93,62.5,67.49,E30,正常型,養脂內衣
A30F,80.94,83.52,62.5,67.49,F30,正常型,塑瘦內衣
A30G,83.53,86.11,62.5,67.49,G30,正常型,塑瘦內衣
A30H,86.12,88.7,62.5,67.49,H30,正常型,塑瘦內衣
A30I,88.71,91.29,62.5,67.49,I30,正常型,塑瘦內衣
A32A,72.99,75.57,67.5,72.49,A32,正常型,養脂內衣
A32B,75.58,78.16,67.5,72.49,B32,正常型,養脂內衣
A32C,78.17,80.75,67.5,72.49,C32,正常型,養脂內衣
A32D,80.76,83.34,67.5,72.49,D32,正常型,養脂內衣
A32E,83.35,85.93,67.5,72.49,E32,正常型,養脂內衣
A32F,85.94,88.52,67.5,72.49,F32,正常型,塑瘦內衣
A32G,88.53,91.11,67.5,72.49,G32,正常型,塑瘦內衣
A32H,91.12,93.7,67.5,72.49,H32,正常型,塑瘦內衣
A32I,93.71,96.29,67.5,72.49,I32,正常型,塑瘦內衣
A34A,77.99,80.57,72.5,77.49,A34,正常型,養脂內衣
A34B,80.58,83.16,72.5,77.49,B34,正常型,養脂內衣
A34C,83.17,85.75,72.5,77.49,C34,正常型,養脂內衣
A34D,85.76,88.34,72.5,77.49,D34,正常型,養脂內衣
A34E,88.35,90.93,72.5,77.49,E34,正常型,養脂內衣
A34F,90.94,93.52,72.5,77.49,F34,正常型,塑瘦內衣
A34G,93.53,96.11,72.5,77.49,G34,正常型,塑瘦內衣
A34H,96.12,98.7,72.5,77.49,H34,正常型,塑瘦內衣
A34I,98.71,101.29,72.5,77.49,I34,正常型,塑瘦內衣
A36A,82.99,85.57,77.5,82.49,A36,正常型,養脂內衣
A36B,85.58,88.16,77.5,82.49,B36,正常型,養脂內衣
A36C,88.17,90.75,77.5,82.49,C36,正常型,養脂內衣
A36D,90.76,93.34,77.5,82.49,D36,正常型,養脂內衣
A36E,93.35,95.93,77.5,82.49,E36,正常型,養脂內衣
A36F,95.94,98.52,77.5,82.49,F36,正常型,塑瘦內衣
A36G,98.53,101.11,77.5,82.49,G36,正常型,塑瘦內衣
A36H,101.12,103.7,77.5,82.49,H36,正常型,塑瘦內衣
A36I,103.71,106.29,77.5,82.49,I36,正常型,塑瘦內衣
A38A,87.99,90.57,82.5,87.49,A38,正常型,養脂內衣
A38B,90.58,93.16,82.5,87.49,B38,正常型,養脂內衣
A38C,93.17,95.75,82.5,87.49,C38,正常型,養脂內衣
A38D,95.76,98.34,82.5,87.49,D38,正常型,養脂內衣
A38E,98.35,100.93,82.5,87.49,E38,正常型,養脂內衣
A38F,100.94,103.52,82.5,87.49,F38,正常型,塑瘦內衣
A38G,103.53,106.11,82.5,87.49,G38,正常型,塑瘦內衣
A38H,106.12,108.7,82.5,87.49,H38,正常型,塑瘦內衣
A38I,108.71,111.29,82.5,87.49,I38,正常型,塑瘦內衣
A40A,92.99,95.57,87.5,92.49,A40,正常型,養脂內衣
A40B,95.58,98.16,87.5,92.49,B40,正常型,養脂內衣
A40C,98.17,100.75,87.5,92.49,C40,正常型,養脂內衣
A40D,100.76,103.34,87.5,92.49,D40,正常型,養脂內衣
A40E,103.35,105.93,87.5,92.49,E40,正常型,養脂內衣
A40F,105.94,108.52,87.5,92.49,F40,正常型,塑瘦內衣
A40G,108.53,111.11,87.5,92.49,G40,正常型,塑瘦內衣
A40H,111.12,113.7,87.5,92.49,H40,正常型,塑瘦內衣
A40I,113.71,116.29,87.5,92.49,I40,正常型,塑瘦內衣
A42B,100.49,103.07,92.5,97.49,B42,正常型,養脂內衣
A42C,103.08,105.66,92.5,97.49,C42,正常型,養脂內衣
A42D,105.67,108.25,92.5,97.49,D42,正常型,養脂內衣
A42E,108.26,110.84,92.5,97.49,E42,正常型,養脂內衣
A42F,110.85,113.43,92.5,97.49,F42,正常型,塑瘦內衣
A42G,113.44,116.02,92.5,97.49,G42,正常型,塑瘦內衣
A42H,116.03,118.61,92.5,97.49,H42,正常型,塑瘦內衣
A42I,118.62,121.2,92.5,97.49,I42,正常型,塑瘦內衣
A44C,107.99,110.57,97.5,102.49,C44,正常型,養脂內衣
A44D,110.58,113.16,97.5,102.49,D44,正常型,養脂內衣
A44E,113.17,115.75,97.5,102.49,E44,正常型,養脂內衣
A44F,115.76,118.34,97.5,102.49,F44,正常型,塑瘦內衣
A44G,118.35,120.93,97.5,102.49,G44,正常型,塑瘦內衣
A44H,120.94,123.52,97.5,102.49,H44,正常型,塑瘦內衣
A44I,123.53,126.11,97.5,102.49,I44,正常型,塑瘦內衣
A46C,112.99,115.57,97.5,107.49,C46,正常型,養脂內衣
A46D,115.58,118.16,97.5,107.49,D46,正常型,養脂內衣
A46E,118.17,120.75,102.5,107.49,E46,正常型,養脂內衣
A46F,120.76,123.34,102.5,107.49,F46,正常型,塑瘦內衣
A46G,123.35,125.93,102.5,107.49,G46,正常型,塑瘦內衣
A46H,125.94,128.52,102.5,107.49,H46,正常型,塑瘦內衣
A46I,128.53,131.11,102.5,107.49,I46,正常型,塑瘦內衣
A48E,122.99,125.57,107.5,112.49,E48,正常型,養脂內衣
A48F,125.58,128.16,107.5,112.49,F48,正常型,塑瘦內衣
A48G,128.17,130.75,107.5,112.49,G48,正常型,塑瘦內衣
A48H,130.76,133.34,107.5,112.49,H48,正常型,塑瘦內衣
A48I,133.35,135.93,107.5,112.49,I48,正常型,塑瘦內衣
C30B,67.99,70.57,62.5,67.49,B30,"下圍正常,罩杯偏小",養脂內衣
C30C,70.58,73.16,62.5,67.49,C30,"下圍正常,罩杯偏小",養脂內衣
C30D,73.17,75.75,62.5,67.49,D30,"下圍正常,罩杯偏小",養脂內衣
C30E,75.76,78.34,62.5,67.49,E30,"下圍正常,罩杯偏小",養脂內衣
C30F,78.35,80.93,62.5,67.49,F30,"下圍正常,罩杯偏小",塑瘦內衣
C30G,80.94,83.52,62.5,67.49,G30,"下圍正常,罩杯偏小",塑瘦內衣
C30H,83.53,86.11,62.5,67.49,H30,"下圍正常,罩杯偏小",塑瘦內衣
C30I,86.12,88.7,62.5,67.49,I30,"下圍正常,罩杯偏小",塑瘦內衣
C32A,70.49,73.07,67.5,72.49,A32,"下圍正常,罩杯偏小",養脂內衣
C32B,73.08,75.66,67.5,72.49,B32,"下圍正常,罩杯偏小",養脂內衣
C32C,75.67,78.25,67.5,72.49,C32,"下圍正常,罩杯偏小",養脂內衣
C32D,78.26,80.84,67.5,72.49,D32,"下圍正常,罩杯偏小",養脂內衣
C32E,80.85,83.43,67.5,72.49,E32,"下圍正常,罩杯偏小",養脂內衣
C32F,83.44,86.02,67.5,72.49,F32,"下圍正常,罩杯偏小",塑瘦內衣
C32G,86.03,88.61,67.5,72.49,G32,"下圍正常,罩杯偏小",塑瘦內衣
C32H,88.62,91.2,67.5,72.49,H32,"下圍正常,罩杯偏小",塑瘦內衣
C32I,91.21,93.79,67.5,72.49,I32,"下圍正常,罩杯偏小",塑瘦內衣
C34A,75.49,78.07,72.5,77.49,A34,"下圍正常,罩杯偏小",養脂內衣
C34B,78.08,80.66,72.5,77.49,B34,"下圍正常,罩杯偏小",養脂內衣
C34C,80.67,83.25,72.5,77.49,C34,"下圍正常,罩杯偏小",養脂內衣
C34D,83.26,85.84,72.5,77.49,D34,"下圍正常,罩杯偏小",養脂內衣
C34E,85.85,88.43,72.5,77.49,E34,"下圍正常,罩杯偏小",養脂內衣
C34F,88.44,91.02,72.5,77.49,F34,"下圍正常,罩杯偏小",塑瘦內衣
C34G,91.03,93.61,72.5,77.49,G34,"下圍正常,罩杯偏小",塑瘦內衣
C34H,93.62,96.2,72.5,77.49,H34,"下圍正常,罩杯偏小",塑瘦內衣
C34I,96.21,98.79,72.5,77.49,I34,"下圍正常,罩杯偏小",塑瘦內衣
C36A,80.49,83.07,77.5,82.49,A36,"下圍正常,罩杯偏小",養脂內衣
C36B,83.08,85.66,77.5,82.49,B36,"下圍正常,罩杯偏小",養脂內衣
C36C,85.67,88.25,77.5,82.49,C36,"下圍正常,罩杯偏小",養脂內衣
C36D,88.26,90.84,77.5,82.49,D36,"下圍正常,罩杯偏小",養脂內衣
C36E,90.85,93.43,77.5,82.49,E36,"下圍正常,罩杯偏小",養脂內衣
C36F,93.44,96.02,77.5,82.49,F36,"下圍正常,罩杯偏小",塑瘦內衣
C36G,96.03,98.61,77.5,82.49,G36,"下圍正常,罩杯偏小",塑瘦內衣
C36H,98.62,101.2,77.5,82.49,H36,"下圍正常,罩杯偏小",塑瘦內衣
C36I,101.21,103.79,77.5,82.49,I36,"下圍正常,罩杯偏小",塑瘦內衣
C38A,85.49,88.07,77.5,82.49,A38,"下圍正常,罩杯偏小",養脂內衣
C38B,88.08,90.66,82.5,87.49,B38,"下圍正常,罩杯偏小",養脂內衣
C38C,90.67,93.25,82.5,87.49,C38,"下圍正常,罩杯偏小",養脂內衣
C38D,93.26,95.84,82.5,87.49,D38,"下圍正常,罩杯偏小",養脂內衣
C38E,95.85,98.43,82.5,87.49,E38,"下圍正常,罩杯偏小",養脂內衣
C38F,98.44,101.02,82.5,87.49,F38,"下圍正常,罩杯偏小",塑瘦內衣
C38G,101.03,103.61,82.5,87.49,G38,"下圍正常,罩杯偏小",塑瘦內衣
